sheet,position_no,title_th,org_unit_code,position_type_code
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-174 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-224 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-225 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-226 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-227 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-175 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-176 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-177 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-036 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-082 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-089 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-049 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-228 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-229 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-230 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-231 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-178 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-179 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-180 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-037 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-083 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-090 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-050 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-051 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-052 (ถ),เจ้าพนักงานสาธารณสุข อาวุโส,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-232 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-233 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-235 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-181 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-182 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-183 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-038 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-084 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-091 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-053 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4609-020 (ถ),เจ้าพนักงานทันตสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-054 (ถ),เจ้าพนักงานสาธารณสุข อาวุโส,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-236 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-237 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-238 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-239 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-184 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-185 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-186 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-039 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-085 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-092 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-055 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-240 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-241 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-242 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-243 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-187 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-188 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-189 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-040 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-086 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-093 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-056 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4609-008 (ถ),เจ้าพนักงานทันตสาธารณสุข อาวุโส,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-244 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-245 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-246 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-190 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-191 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-094 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-057 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-247 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-248 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-249 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-250 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-192 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-193 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-095 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-251 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-252 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-253 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-254 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-194 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
